# generated by zuna-rs fif_to_csv
# sfreq=256 n_channels=12 n_samples=3840
timestamp,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8
2.421875000e-1,2.947676876e-5,1.569154483e-5,1.814085954e-5,4.029409411e-6,2.057977690e-5,-3.019521864e-5,3.275012205e-5,2.044338544e-5,3.441539229e-5,2.987617700e-5,5.839459845e-5,3.037911540e-7
2.460937500e-1,3.122228736e-5,1.792914372e-5,2.270314508e-5,3.996361102e-6,2.196581954e-5,-3.129816832e-5,3.566942905e-5,2.046405825e-5,3.954386193e-5,3.382325667e-5,6.010424113e-5,-1.740138345e-7
2.500000000e-1,3.166420356e-5,1.328385315e-5,2.047729868e-5,-1.923141326e-6,2.220035822e-5,-3.170843047e-5,3.759327592e-5,2.372310882e-5,4.174419155e-5,3.755149737e-5,6.094900527e-5,2.871145171e-7
2.539062500e-1,2.877375482e-5,8.202719073e-6,1.950645492e-5,-6.690581813e-6,2.392009446e-5,-3.350220504e-5,3.924253178e-5,2.470708750e-5,4.331320815e-5,3.946379366e-5,6.300082896e-5,-4.344333774e-6
2.578125000e-1,3.067887883e-5,1.424468246e-5,2.159761607e-5,-2.465839543e-6,2.399184814e-5,-3.370428021e-5,3.918440052e-5,2.237977242e-5,4.514779357e-5,3.758821185e-5,6.190430577e-5,-4.541979251e-6
2.617187500e-1,2.964836858e-5,1.281960067e-5,2.158391544e-5,-1.843702876e-6,2.403365579e-5,-3.370633203e-5,3.981988993e-5,2.294251317e-5,4.690356218e-5,4.025729504e-5,5.852040704e-5,-2.637327725e-6
2.656250000e-1,2.491314626e-5,5.704478099e-6,1.757808423e-5,-8.214698937e-6,2.554725143e-5,-3.492246105e-5,4.402779086e-5,2.409838817e-5,5.343898738e-5,4.027147224e-5,5.816810517e-5,-5.772040822e-6
2.695312500e-1,2.102354301e-5,1.740796620e-6,1.547948341e-5,-1.224593507e-5,2.543776100e-5,-3.503211701e-5,4.604053538e-5,2.552933438e-5,5.562788647e-5,4.181544500e-5,5.906351362e-5,-8.385392903e-6
2.734375000e-1,2.844701885e-5,9.585929547e-6,1.935020737e-5,-5.803212389e-6,2.615682934e-5,-3.561370613e-5,4.673065632e-5,2.284534821e-5,5.528145994e-5,3.878741336e-5,6.032854071e-5,-5.907369541e-6
2.773437500e-1,3.146756717e-5,1.360105944e-5,2.048136230e-5,-1.530304644e-6,2.633061195e-5,-3.573292634e-5,4.682897270e-5,2.032370139e-5,5.580964717e-5,4.021393033e-5,5.880847311e-5,-3.861542154e-6
2.812500000e-1,3.219618520e-5,1.133938804e-5,1.993042133e-5,-5.757379768e-6,2.690206929e-5,-3.651919178e-5,4.865465235e-5,2.322051296e-5,5.986554606e-5,4.481908036e-5,6.114772987e-5,-6.402672625e-6
2.851562500e-1,2.651936484e-5,6.442816357e-6,1.475911995e-5,-1.184848588e-5,2.586192568e-5,-3.550881229e-5,4.908463961e-5,2.874280472e-5,5.953587242e-5,4.766164056e-5,5.933949797e-5,-7.778786312e-6
2.890625000e-1,2.222534931e-5,7.863402061e-6,1.091264858e-5,-9.213901649e-6,2.573321217e-5,-3.541660772e-5,4.960202932e-5,2.733905967e-5,6.116391160e-5,4.514671673e-5,5.540571146e-5,-8.432597497e-6
2.929687500e-1,2.214737106e-5,9.440977010e-6,1.138995776e-5,-3.541788374e-6,2.464574027e-5,-3.382635987e-5,5.016014256e-5,2.891819713e-5,6.288428267e-5,5.017264994e-5,5.123628216e-5,-6.396044228e-6
2.968750000e-1,2.168907122e-5,3.163417887e-6,1.343128042e-5,-6.194722118e-6,2.479954856e-5,-3.464847396e-5,5.121861977e-5,2.895612124e-5,6.477538409e-5,4.942304804e-5,5.159226930e-5,-6.562635008e-6
3.007812500e-1,1.295381935e-5,-3.689904815e-6,1.156649887e-5,-1.218601574e-5,2.512927131e-5,-3.461894448e-5,4.854569488e-5,3.076894791e-5,6.048256182e-5,4.807207006e-5,4.875483501e-5,-9.283839972e-6
3.046875000e-1,1.328957751e-5,-4.057590104e-6,1.299949599e-5,-1.265670380e-5,2.603532084e-5,-3.574981383e-5,4.930811701e-5,2.875735845e-5,5.994023013e-5,4.601834007e-5,5.096680979e-5,-1.114186125e-5
3.085937500e-1,1.637465357e-5,3.259787945e-6,1.681221147e-5,-4.536192137e-6,2.574546670e-5,-3.528801972e-5,4.740748045e-5,2.402597966e-5,5.650497042e-5,3.959939568e-5,4.791920219e-5,-7.264654414e-6
3.125000000e-1,1.870080814e-5,4.141609224e-6,1.655557026e-5,-4.074295703e-6,2.561616930e-5,-3.503870539e-5,4.749066284e-5,2.502210737e-5,5.833585601e-5,4.161722973e-5,4.745153637e-5,-6.943678272e-6
3.164062500e-1,1.929407517e-5,1.179699893e-6,1.325196536e-5,-7.465721410e-6,2.449937529e-5,-3.401150025e-5,4.659403203e-5,2.686362131e-5,5.680484901e-5,4.185463695e-5,4.913413068e-5,-6.782402124e-6
3.203125000e-1,1.824036372e-5,-1.506617195e-6,1.181002699e-5,-9.851618415e-6,2.505903831e-5,-3.457408093e-5,4.632450509e-5,2.887930532e-5,5.510322808e-5,4.372858530e-5,4.955927216e-5,-9.717746252e-6
3.242187500e-1,2.030033102e-5,6.350007425e-6,1.490612794e-5,-2.852805665e-6,2.555384708e-5,-3.532235860e-5,4.498534327e-5,2.388530811e-5,5.268650784e-5,3.655066030e-5,4.834058927e-5,-8.494200301e-6
3.281250000e-1,2.271831363e-5,9.023226994e-6,1.693199374e-5,-3.005060876e-7,2.637536636e-5,-3.626775288e-5,4.524834003e-5,2.158431926e-5,5.367056292e-5,3.741451656e-5,4.855709994e-5,-6.288490567e-6
3.320312500e-1,2.173729263e-5,5.102408068e-6,1.593967863e-5,-2.859415417e-6,2.661355938e-5,-3.601274511e-5,4.585646820e-5,2.212877007e-5,5.472602788e-5,3.594488589e-5,5.233133197e-5,-5.384843007e-6
3.359375000e-1,1.895724017e-5,1.475816475e-6,1.465880723e-5,-8.028393495e-6,2.694207433e-5,-3.650814324e-5,4.533936954e-5,2.153277273e-5,5.182272798e-5,3.213425953e-5,5.121167123e-5,-7.731769074e-6
3.398437500e-1,2.506196142e-5,6.887303243e-6,1.516410157e-5,-4.772962257e-6,2.755278547e-5,-3.725878923e-5,4.409021494e-5,1.878091825e-5,4.848786921e-5,2.928468348e-5,5.303418948e-5,-6.638698778e-6
3.437500000e-1,2.621317253e-5,9.350367691e-6,1.891379361e-5,-4.433123024e-7,2.841482637e-5,-3.789012771e-5,4.370850365e-5,1.804800377e-5,4.818887101e-5,2.811530794e-5,5.161486843e-5,-6.343615951e-6
3.476562500e-1,2.743950790e-5,7.957683010e-6,2.366094304e-5,-2.215822178e-6,2.941863204e-5,-3.898458817e-5,4.410857218e-5,1.815569522e-5,4.793002154e-5,2.679796125e-5,5.472495468e-5,-6.290225883e-6
3.515625000e-1,2.666188811e-5,7.336902399e-6,2.322410364e-5,-5.799659448e-6,2.964424493e-5,-3.901993114e-5,4.227362297e-5,1.864153455e-5,4.484098827e-5,2.788237362e-5,5.811176015e-5,-4.206629455e-6
3.554687500e-1,2.994433271e-5,1.049392540e-5,2.521408715e-5,-2.744923449e-6,2.877785300e-5,-3.856778858e-5,3.936482244e-5,1.491275998e-5,3.973280036e-5,2.050411422e-5,5.900164251e-5,-5.614908787e-6
3.593750000e-1,3.021831799e-5,1.408135813e-5,2.532448889e-5,1.449611887e-6,2.801752817e-5,-3.769204704e-5,3.891185406e-5,1.234793854e-5,3.934348206e-5,1.746428643e-5,5.551784852e-5,-5.096354471e-6
3.632812500e-1,2.960083293e-5,1.367698314e-5,2.400470839e-5,5.544011827e-8,2.699551806e-5,-3.644632307e-5,4.033177902e-5,1.458251791e-5,4.364865163e-5,2.226237484e-5,5.509963012e-5,-4.555100986e-6
3.671875000e-1,2.570917604e-5,6.375351859e-6,2.107146975e-5,-4.882363100e-6,2.715345181e-5,-3.692757673e-5,4.095874829e-5,1.400375277e-5,4.201858974e-5,2.090124326e-5,5.543932275e-5,-4.828249530e-6
3.710937500e-1,2.329798917e-5,4.660884770e-6,2.106292231e-5,-5.346309081e-6,2.685809886e-5,-3.656179251e-5,4.029873526e-5,1.402710586e-5,4.015654849e-5,1.919533133e-5,5.494312791e-5,-6.042314453e-6
3.750000000e-1,2.707108979e-5,9.594568837e-6,2.522375689e-5,1.722194725e-6,2.710850094e-5,-3.670824663e-5,3.991631820e-5,1.216955025e-5,4.017071842e-5,1.924782373e-5,5.473715282e-5,-5.466150924e-6
3.789062500e-1,3.066921272e-5,1.298812549e-5,2.788994789e-5,4.709101631e-6,2.722454155e-5,-3.656500849e-5,4.047268521e-5,1.206688557e-5,4.004171205e-5,2.168519131e-5,5.647512444e-5,-3.344650850e-6
3.828125000e-1,2.924225555e-5,9.876654985e-6,2.188436520e-5,-7.312166304e-7,2.759641939e-5,-3.726558134e-5,4.115863339e-5,1.319025068e-5,3.930708772e-5,2.220679198e-5,5.641498501e-5,-5.060630428e-6
3.867187500e-1,2.856546234e-5,7.091010957e-6,1.592601802e-5,-4.146181709e-6,2.670402137e-5,-3.680192094e-5,4.047100447e-5,1.780915409e-5,3.760600157e-5,2.919958752e-5,5.869348388e-5,-4.959562830e-6
3.906250000e-1,2.998393757e-5,1.401709233e-5,2.175700502e-5,1.185926180e-6,2.761947326e-5,-3.740469401e-5,4.068240742e-5,1.713377242e-5,3.890707012e-5,3.150591147e-5,5.786830297e-5,-4.227559657e-6
3.945312500e-1,3.125518560e-5,1.604571844e-5,2.683202729e-5,4.440126304e-6,2.806927478e-5,-3.762332926e-5,4.035048187e-5,1.447603245e-5,3.962426490e-5,2.974555719e-5,5.855015479e-5,-1.589302883e-6
3.984375000e-1,2.986537766e-5,1.383416657e-5,2.447389488e-5,1.202980457e-6,2.720373232e-5,-3.692329483e-5,4.046279355e-5,1.764865920e-5,4.046574395e-5,3.478598592e-5,5.771536962e-5,-2.048726486e-7
4.023437500e-1,2.370884613e-5,6.915210179e-6,2.122652040e-5,-3.941221166e-6,2.569602839e-5,-3.518447556e-5,4.034458107e-5,1.939699723e-5,3.926295904e-5,3.354949513e-5,5.464251808e-5,-2.534293344e-6
4.062500000e-1,2.536696411e-5,9.739252164e-6,2.184787627e-5,-7.095273418e-7,2.399745426e-5,-3.374884545e-5,3.662581003e-5,1.767660069e-5,3.278542135e-5,2.701483027e-5,5.445858915e-5,-2.423988917e-6
4.101562500e-1,2.851806858e-5,1.209491256e-5,2.420876626e-5,3.160892220e-6,2.489233702e-5,-3.447631752e-5,3.505423592e-5,1.469365452e-5,3.221373117e-5,2.513128129e-5,5.305399827e-5,-1.471727387e-6
4.140625000e-1,2.955565287e-5,9.395032066e-6,2.107469845e-5,1.001810347e-6,2.452442823e-5,-3.409190322e-5,3.490839663e-5,1.628164136e-5,3.320764517e-5,2.500781375e-5,5.406429773e-5,-2.786219966e-6
4.179687500e-1,2.405322994e-5,2.480585181e-6,1.584780512e-5,-6.565232070e-6,2.422671605e-5,-3.371753701e-5,3.433494203e-5,1.919640999e-5,3.065750570e-5,2.672823757e-5,5.376375339e-5,-6.317804946e-6
4.218750000e-1,2.298169238e-5,4.225325938e-6,1.569637243e-5,-5.361569038e-6,2.366911394e-5,-3.319957978e-5,3.359082984e-5,2.063674219e-5,3.057475624e-5,2.907152157e-5,5.103648073e-5,-6.919604857e-6
4.257812500e-1,2.807634883e-5,1.174866611e-5,1.992925536e-5,2.521961733e-6,2.222584590e-5,-3.207170448e-5,3.155329614e-5,2.003771078e-5,3.066502177e-5,2.909732575e-5,5.210485688e-5,-2.312531933e-6
4.296875000e-1,3.006194675e-5,1.442191842e-5,2.160787699e-5,4.111331236e-6,2.299482003e-5,-3.245788685e-5,2.985166248e-5,1.714310565e-5,2.685037362e-5,2.454404421e-5,5.130347563e-5,8.121969586e-7
4.335937500e-1,2.661357576e-5,1.006327693e-5,1.506277295e-5,-1.371597250e-6,2.276290797e-5,-3.202221706e-5,3.239264333e-5,2.059455983e-5,3.130943514e-5,2.742158176e-5,5.151624646e-5,-4.237358553e-7
4.375000000e-1,2.087743633e-5,8.110354429e-6,9.797937309e-6,-3.813070862e-6,2.270575897e-5,-3.234905307e-5,3.533790368e-5,2.408622640e-5,3.576484960e-5,3.329313040e-5,4.971931048e-5,-6.940572916e-7
4.414062500e-1,2.417759788e-5,1.046698526e-5,1.550510206e-5,7.540542697e-7,2.265463081e-5,-3.247527275e-5,3.303169797e-5,2.170815787e-5,3.044572077e-5,3.085249045e-5,4.939144128e-5,6.394564593e-7
